,Review
10,"Utterly stunning in every department. Can't find a single fault with the film. My grandfather was injured at Dunkirk and I wish he was still alive to see this. if it doesn't win the best film Oscar, there's something wrong. To James Cartwright (0/10 guy trying to get his political points across). Did you actually see the film?"
11,"Extremely good movie. Watched it last night and it was better than I expected. Full of great scenes and amazing screenplay.This was by far the best movie i've seen in the past decade. Moreover, it's probably in my top 3 great history movies. I would recommend you all watching this movie, a piece of art."
12,"I'm not fan of movies about war at all, but some days ago I was impressed by The Prestige and wanted to see more Nolan. There are no gory fights or something that will affectedly play on your emotions. However, it held me in suspense the whole screening. Lack of tough story-line did not let me get bored. The story tells us about thousands deadlocked people. So much as wanting back to home, some afraid of conviction and milksop mark. It is not focused on one main person. We can see the situation from different angels, and I liked each. Also, tired of variegated films, my eyes enjoyed color grading and great acting of the cast that surprised me.I like all about this movie, it literally stroke a chord with me."
13,Not sure why is didn't win film of the year. Much better than the shape of water
14,"What a movie. This has to be the best way to tell a story. Many people may find it boring as its slow paced. But this slowliness of the movie give the sense of terror which happend in the story. I like how its mainly without any music. Its a simple war story told by a soldier's pov. Its slow, just like a human's life. For me, this movie is amazing as its able to show the true problems faced by those people. I love this one"
15,"For the naysayers on the depth of the story, the whole point of the movie is so that you can have an immersed experience in the battle scenes told from multiple perspectives.This movie is truly a visual and sound combination masterpiece. In short, it is a masterpiece that brings out the experience. The movie doesn't contain a lot of the dialogues but shows you scenes of realistic battle experiences which allows the movie-goers to taste the experience of the Dunkirk Evacuation.Furthermore, because of Nolan's usage of real world objects such as the real Dunkirk beach, real destroyers, real boats, and real planes, the movie is second to none in terms of its graph effects. Nothing like those cheap CGI-generated movies.In addition, with the combination of sharp sound of planes accentuated by the dark and ominous music composed by Zimmer, this movie is a master piece that shifts one from situation to situation, watching events unfold from multiple perspectives.In addition, without the dialogue, the movie also doesn't lend itself to propaganda. Nothing like the intertwined love story of the Pearl Harbor. In addition, even though it was told from the British side and even though the cast and the movie producers are all British and Irish, the movie is surprisingly unbiased depicting the competency of both German and British soldiers of the time.Due to these reasons, I'd strongly recommend anyone to watch the movie."
16,"Best movie of year, one of the best movies ever and best war movie ever. Timelines and time sections of movie was made and arranged unprecedentedly. The way that movie was shoot and showing us the story and events is amazing unique and unrivaled so everyone will be excited and Ill give 10/10 because THIS IS PERFECT and you can only rate it 10 and enjoy it."
17,"I can honestly state that no other film has truly given me the feeling of actually being on location, which, in the case of Dunkirk, 1940, is not altogether a pleasant experience. But it's a great, great film. I've never seen anything like it. It is also the most un-theatrical film I have seen to date; it actually comes across as a documentary. The acting is admirably restrained, the dialog all but absent, and the cinematography to die for. The casting is inspired. From the crooked teeth of our main tommy, aptly named Tommy (Fionn Whitehead) to Commander Bolton (Branagh, who always looks any part he plays), everyone could be your average Brit in WW2. No gloss, no glitter. Not even elevated rhetorics: Churchill's speech of 4 June '40 is read aloud from a newspaper, with no gusto and interrupted.Nolan takes the decisive moment of World War II, the evacuation from Dunkirk which was the bleakest hour of the war when it seemed like Germany would win after having subjugated every country in Europe save England. The colossal evacuation, performed primarily by private fishing boats, gave 300,000 men the opportunity to fight again. The subsequent Battle of Britain, one month later, convinced the US about entering the war and aid the allies before fighting in the Pacific, and this was what sealed Hitler's fate.We may be apt to forget how easily the allies might have lost the war – but Nolan reminds us with a vengeance, especially near the end of film when the survivors return to England as they believe in disgrace. They have done nothing but survive. But their survival turned the tide."
18,"Christopher Nolan succeeds in the challenge of describing a non-winning subject (a stinging military defeat) and highlighting the spirit of solidarity and hope. An uninterrupted and deliberately oppressive music, a high-quality photography, talented actors, ... two thumbs up!!!! As a sweet euphemism, I'm not a fan of war movies, but Christopher Nolan signs a masterpiece of the seventh art."
19,"The movie directed by Christopher Nolan and produced by his wife Emma Thomas is extremely well directed. Dunkirk is all about WW2 between may and June , 1940. Excellent Cinematography. Thousands and thousands of soldiers on land, boat at sea and airplanes in air are fascinating to watch. It is amazing how camera-work was perfect . All actors did their part well. All the land events details took place in a week , the ones at sea in a day and all aircraft details in an hour. The scene where aircraft lands on water and is on fire is exquisite. Definite Oscar worthy for Cinematography. Very appropriate dialog and script is fit for soldiers, Navy, AirForce. Superb. Great direction. Good editing. excellent music. 1hr 46 minutes on big screen . Perfect."
20,"This movie had me sitting on the edge of my sweet the whole way through, it was incredibly engaging. The use, or lack or, dialect creates an indescribable atmosphere and forces the watcher to pay attention. The use of a nearly constant, if not constant sound bed includes the viewer in the experience and allows them to go on ups and downs along with the movie."
21,"I'm currently re-reading Hugh Sebag-Montefiore's ""Dunkirk"" (which is a fantastic book by the way and highly recommended for anyone who wishes to have a micro- or macroscopic view on the topic) and based on that source the movie is not always historically accurate. On top of that there are some events that seem too fantastic just based on common sense. This was my first impression.Having now seen the movie twice, I forgot and forgave the inaccuracies, went with the flow, and I think the movie is a masterpiece. It is a collage of events from the viewpoint of individuals who in fact lose all traits of individuality when facing the monstrous war. The movie looks beautiful, the soundtrack is revolutionary and the way the different moments in time are sequenced is ingenious and impressionistic. Chapeau!"
22,"I am Dunkirk crazy. I have seen it twice, including the world premier release at 7:15am, where I got a free Dunkirk t-shirt as a first showing promotion for IMAX.The first two viewings were due to booking a later showing which had a relatively poorer seat near the front, so I booked the early morning one with a better seat as I was d e s p e r a t e to see it ASAP.I now have tickets to see it twice more, again on IMAX 70 I just love it so much. So thrilling, so visceral.I was crying, cheering, proud, anxious, relieved: the whole gamut of emotions. I needed oxygen.The splendid soundtrack was almost Metallica on speed with a syncopy similar to a heart rate beating faster and faster. My pulse was off the stratosphere.I did feel a bit nauseous at the hand-held camera jogging along with the guys running across the beach, and although I dare say it is a clever technique and quite deliberate, some of the out-of-focus shots of background forces personnel were annoying. Harry Styles cuts a convincing figure as a young soldier although Fionn Whitehead (pronounced: 'Finn', apparently) steals the show with his serious expression and the guy in the boat in the red jumper, Peter, 'the Captain's son', played by Tom Glynn- Carney, is just so polite, handsome and British, I wanted to hug him - I have a crush! - and his dad, a stubborn irascible Welshman is brilliant with his quiet deadpan determination.It's amazing to discover that this is a 'first movie' for Fionn Whitehead and Tom Glynn-Carney, as well as Harry Styles. What great casting. Fionn comes across as a young glowering Tom Courtney, Harry, a rebellious James Dean/Mick Jagger type and Tom an affable Cliff Richard (as in Summer Holiday).The upper-class airman on the boat sounds like an American trying to put on a posh British accent. It is, in fact, Cillian Murphy, who I found out later, hails from Ireland. It was the way he said, 'Yacht', that gave it away.It was obvious Harry Styles is not RADA trained as his diction is poor and I struggled to understand what he was saying, although I got it (well, almost all of it) the second time round. He over-acted as well, but being a good actor comes with time.The soundtrack goes right through you, you really have to see it at volume 11 with the screen in your face.It is worth the extra five pounds or so to see it on IMAX, so I urge you to see it before it's too late and all you have is the DVD download or the edited TV film with commercial breaks.Take an afternoon or morning off work - the evening sessions are all sold out - and just go see. Even if you have to sit in the front row at the end, beg steal or borrow and see it well.I love this film with all my heart. It is the best film EVER. made.Despite my minor moans above, I would still have given it an eleven, given half a chance.At both showings, people spontaneously applauded at the end."
23,Dunkirk is a captivating and completely immersive from start to end. Out of any of the movies that I have seen this year this movie really peaked my interest because of the unique choices made by the production team (eg; hiring actors that are essentially no names). This film has a great visual style that is intense yet methodical which is complemented very well by the masterful directing by Christopher Nolan. In conclusion Dunkirk is an experience like no other movie that has come out this year so far. Highly recommend it to any type of audience.
24,"Dunkirk offers the most intense, beach set cinematic experience since the iconic film Jaws. In this new adaptation of such a strong battle, Christopher Nolan's talent as director and writer shines through, creating a visual masterpiece that leaves you mesmerized.The battle of Dunkirk was a short one, May 26 to June 4, 1940. Despite its minimal timeframe, it was deadly. WWII Allied soldiers were hiding, surrounded on all sides by the German Army and had to be evacuated on the beaches of Dunkirk, by way of an operation famously known as Operation Dynamo. On the ground, British Army Privates Tommy (Fionn Whitehead) and Alex (Harry Styles) are two of the men desperately fighting and struggling to remain alive and safely evacuate the beach, by whatever means available. Across the ocean, local sailors Mr. Dawson (Mark Rylance) and his son Peter (Toms Carney) had been recruited by the Navy to help with the evacuation. From yet another perspective, members of the Royal Air Force including Farrier (Tom Hardy) attempt to shoot down the German bombers, in order to help the stranded troops evacuate the beach and ocean safely.Let's talk about the production of the film. The cinematography, as expected from talented director and writer Christopher Nolan, is groundbreaking. Congratulations to Hoyte van Hoyterman for creating a visual masterpiece. Everything looks incredibly realistic and breathtaking, keeping you on your toes throughout the film. The scene that is the most memorable to me, is when one of the Air Force pilots soar through the sunset sky as the troops cheer in victory. I assure you that it will give you goosebumps and make you teary-eyed.The sound effects and the music by Hans Zimmer make the movie that much more tangible. The bombing begins from the very start of the film, preparing you for an emotional roller-coaster. They are so loud that it sounds as if they're coming from the back of the theater. If you listen closely, there's a ticking clock throughout the entire film, (minus the ending, which I will keep under wraps for you to discover) hidden within each song, creating increased tension and suspense. By the end of the film, I was already down to the nub of my fingertips, so prepare to be antsy!Harry Styles' performance is quite impressive, particularly since he is a known as a singer, not an actor. It is refreshing to see his excellent performance her, as he is the one with the most lines and delivers them eloquently, equal to an experienced actor. Cillian Murphy and Tom Hardy also delivered remarkable performances. Dunkirk relies heavily on emotions since it barely has any dialogue, so it is important to have the story delivered by the visuals and the acting, which they achieved flawlessly.Dunkirk is rated PG-13 for intense war experiences and some language. Because of the stunning cinematography and story line, I rate Dunkirk 5 out of 5 stars and recommend it for ages 13 to 18. Go check it out, whether you are a history buff or not, this film will remind you how history affects us.Reviewed by Michelle C., KIDS FIRST! Film Critic."
25,"For a teenager today, Dunkirk must seem even more distant than the Boer War did to my generation growing up just after WW2. For some, Christopher Nolan's film may be the most they will know about the event.But it's enough in some ways because even if it doesn't show everything that happened, maybe it goes as close as a film could to letting you know how it felt.""Dunkirk"" focuses on a number of characters who are inside the event, living it minute by minute. Tommy, the soldier at the centre of the story, seems at first glance to be the antithesis of the Dunkirk legend. Maybe he fits a New Millennium sensibility rather than a 1940's one, more like a contestant on ""Survivor"". He does show initiative, but a soldier who throws away his weapon then ""helps"" wounded to the rear risked a court martial in every army from the Roman Legions on. The lines of stoic soldiers waiting patiently on the beach, the enduring image of the evacuation, seem almost like a backdrop as Tommy and his mate run through them.The man who embodies the spirit to the full is Dawson, the civilian captain of the Moonstone. He is the sort of man who wins wars; the bloke who sticks to the task when others buckle under pressure; ""There's no hiding from this thing son,"" he says to an officer whose nerve has cracked, all the while steering his little boat towards Dunkirk.The scenes of aerial combat look so real it makes all other depictions pale in comparison. Peter Jackson once planned to do a remake of ""The Dam Busters"", but possibly Christopher Nolan would add another dimension to the retelling.
The brilliant special effects serve the story. Much of the panorama of Dunkirk is glimpsed almost incidentally from the cockpit of fighter planes or by men struggling in the water.There are surprises for anyone who thinks they know the story or have seen documentaries or other recreations of the event; it's very different to the crowded Dunkirk of ""Atonement"".An unsettling score helps heighten the tension in a film that has you holding your breath in scene after scene. This is a film that demands more than one viewing."
26,"Before you decide to watch ""Dunkirk"" I have a bit of a warning. While you would expect death and blood in a war film, some of the scenes in the film are amazingly tough to watch. There's actually very little blood, but there are some drowning scenes which are intense and awful. Now I am not saying don't watch it...just be prepared.The story is a retelling of the escape of the British* from the beaches of Dunkirk. The German army was coming and the combined British and French forces were trapped with little apparent chance to escape. And, as an army of over 300,000 Brits dug in and waited, the Luftwaffe began chipping away at them....and ultimately would have killed and/or captured them all if it wasn't for a rag-tag flotilla of private boats which hastily arrived and spirited away about 80-90% of the men.By the way, early in the film you hear someone speaking to the pilot (Tom Hardy) over the radio. The voice is that of Michael Caine....an odd and brief cameo.The story is gripping, well told and brilliant. I have only one complaint, and I am surprised it made it to the film considering how amazing a director Christopher Nolan is. At one point, the scene switches between some men in a boat being attacked and a private yacht rescuing downed pilots. The scenes kept switching back and forth....but one was clearly at night and the other clearly was in daylight. This really didn't make any sense. Still, otherwise an amazing spectacle...a truly amazing war film."
27,"No reviewer was lying when they said see this in 70mm IMAX (full disclosure, I saw this on a regular screen). In my opinion, it necessitates it. I can just ""tell"" from what I saw. The aerial shots alone would provide good reasoning for it, but the sound that those theaters provide with the big picture in front of you will captivate you exactly the right way.This isn't a social kind of film, and it certainly isn't popcorn entertainment. Not a summer blockbuster at all. This film's scope feels very small, even though it carries epic tones within. Nolan really broke a lot of traditional film conventions with this, and I think that exact kind of ambition is what makes this movie work for a more general audience. I somewhat think audience members need to know what they're getting into beforehand to be accepting of that fact, but once they are I think they will be just fine.On a technical level, I think this is Nolan's best yet. The Prestige still might get higher honors simply because of the more demanding writing that is involved, but given what Nolan intended to do, this nearly screams ""perfection."" Did he try and go for an R-rating? No. Did that matter? Not even close. Did he try and provide massive amounts of character development? No. Did that matter? Depends on who you talk to. I could honestly say that if there were two cuts of this film—an extended cut that develops the characters and this one—you could give us the option and we would find the one we enjoy more depending on what we're looking for. Did he look to vilify the Germans to the point of controversy? No. Did that matter? It didn't, but only one part does stick out for me (the ""one flaw"" that Nolan often has trouble with in his writing) and I'll get back to that in a moment.""Harrowing"" is easily my favorite word to describe Dunkirk. This is a survival film, and that's all it is. He put us on the beach, on the sea, and in the air. He gave the characters a want and will to live with an impending threat for which we understand its consequence, without need of showing thousands of deaths or lots of blood. When one moment of attempted survival ends, another one begins without warning. That doesn't mean the film is relentless action, but it certainly is relentless tension, if for no other reason than Hans Zimmer's score. I'm telling you right now, his score is my favorite part of the film. It's actually mostly a quiet kind of score, but it is frightening and works with the film so very well.Nolan has had a lot of trouble doing ""show, not tell"" in his past films. This time he has learned a lot, not letting the actors expose everything (acting was fine all around, by the way... not much to say about it honestly, as it's not the film's high point). I did not feel the presence of the surrounding enemies, though. If the film didn't tell us about it, I probably wouldn't have felt the pressure of getting off that beach sooner than later. Hearing the planes incoming was always scary of course, but as we only had the British perspective and a week-long time line at most, there simply wasn't a chance of feeling time cave in on them. This to me is this film's only real flaw.That being said, the only real limitation that holds this film back is that it's based in reality, which means that we are already aware of the outcome. I think for this particular story it's fine, because it's not one specific moment that lets us breathe again... so letting it play out the way that it did is okay with me. I do not think this will go over with people who come in completely uneducated about Dunkirk. I made a mistake in stating that I wanted this film to educate me on the evacuation story. I think I'd rather have learned about it first and then seen the film, kind of like seeing United 93 after having lived 9/11 (not totally, but I was at least cognizant of all that transpired). That doesn't mean to research the film itself, but rather just the historical event.I do hope that Nolan goes back to fictional work after this. Here was an awesome deviation from the norm that he chose to do, and he went out in grand style. I could have used a longer film with fleshed out character development, but this film also works as well especially in the month of July. I see this receiving many Oscar nominations such as score, editing, cinematography, visual effects, etc... I do not see any acting or writing awards... and yes, I see a director nomination as well. If the academy believes some of those earn him victories, then god damn it give him his Best Picture Oscar as well.I can't really yet rank this film with his other films, because it's just so different. I don't see too many of the Inception parallels here. Every film of his outside of Insomnia either does nonlinear or intertwining storytelling, but this one is without the cleverness involved in the script. It's just playing things out as they do. Survive. So to revisit, I believe this may be his best work yet, even if I don't know if it's my favorite of his. I really just want to put this in another category from other films entirely, in which case it's my favorite of ""that kind of film.""My heart is still pounding from this film. I simply cannot wait to see this in 70mm IMAX on Thursday."
