,Review
10,"Eight years after the infamous abomination Batman & Robin that killed the Batman franchise, Christopher Nolan stepped in and started a whole new series a darker (even darker than the first two Tim Burton Batman movies) and realistic level. Now at first, I wasn't mad on Batman Begins because at first I thought it was boring and it took a while to get to the part where Bruce Wayne becomes Batman. But after a while, I loved the film. In fact, it turned out to be my favourite Batman movie even though I really like the first two Batman movies by Tim Burton. I really like how we get to see the origins of Batman like the tragic death of his parents and becoming a martial arts expert in somewhere in Asia. Also I think it's clever how they made Batman act like a ninja than a superhero. Christian Bale is really good and intimidating as Batman but I think he's not as good as Michael Keaton's Batman. But also I think the rest of the cast did very well like Katie Holmes, Liam Neeson, Michael Caine and Cillian Murphy. But I can't understand why Katie Holmes was nominated for a Razzie for Worst Supporting Actress. I liked her as Rachel and she was a lot better than Maggie Gyllenhaal; not to mention better-looking. It's too bad The Dark Knight and The Dark Knight Rises weren't as great as Batman Begins. I mean I think The Dark Knight is really overrated. I mean most people seem to be overglorifying it just because of Heath Ledger's performance as the Joker and his death. But The Dark Knight Rises was brilliant and gave a nice ending to the trilogy but I don't think it wasn't as fresh as Batman Begins. By the way, happy birthday to the creator of Batman, the late Bob Kane!"
11,"All i can say is thank you Chris Nolan,,,I still think you will have to be a magician to beat Tim Burton's Batman film's but Nolan has is well on his way to becoming Houdini. This is a film that describe's Batman as he was in the comics and i think as Bob Kane imagined...So how has Nolan done it..Simple..i've seen the xtras on the Region 2 DVD and it appears that he didn't rush anything and really worked hard on this and recruited the best of the best in the movie making business,it's an extremely hard character to portray and a risky franchise as a director to do a good job as Joel Schumacher found out. He has had some good films like The Lost Boys etc but his take on the Batman was purely a joke and i think he had potentially ruined a huge money making franchise...But however it has been saved with Nolan's amazing take on Gotham and Christian Bale's Dark Knight which truly is an amazing likeness to the comics,,,This film has everything that we wanted and more because it has a beginning a middle and an amazing end which makes batfan's itching for more and a sequel which promises just that,,,it has an all star cast too,Morgan Freeman and doing an amazing job in succeeding the great Michael Gough's Alfred we have Michael Caine..The villain is the Scarecrow but in true Gotham Style there are more corrupt going's on in Gotham than good and who are they gonna call to clean it up..Simple.....THE BATMAN...This film has more gadget's and lifelike special effects than any other Batman Film so it's definitely one to watch..Thanks and i hope you enjoy it as much as i did.."
12,"For those of you who were disappointed with the last few Batman movies, 'Batman Begins' redeems the caped crusader in a big way. 'Batman Begins' takes us on a journey through Bruce Wayne's tragic past again, giving us a real insight into what drives and fuels his quest against suffering and injustice. We discover how the billionaire came to be trained in the martial arts, develop his alter ego, and acquire his technological arsenal. Christian Bale gives us a riveting performance as not only a very dark hero, but also a tortured soul looking for the means to combat the wrongs of society, a society that we see is also responsible for the death of his beloved parents. Another thing we notice from the beginning is this story does not tie into that of the other movies in the series. This is however not a disappointing feature, in fact it seems to breathe new life into this timeless classic. So for all of us who have followed the Dark Knight's journey's, strap yourself in for a wild and inspiring ride."
13,"Saw a free screening on Tuesday. I must say, I had my expectations low for this one, as the previous Batman franchises was just cartoony, over the top, and flat out mind dumbing. Why do studios continually think that spending money on 'bankable stars' and special effects will make a ton of money on box office receipts? Granted ""Batman Begins"" has a pretty sizable budget, but they made the right decision with casting actors that can act and hiring a director that shares the same vision of the comic book. You will not see any caricatures of the comic book, but rather be immersed in how Bruce Wayne has that internal conflict of morality as he becomes Batman. Christopher Nolan takes his time developing Bruce Wayne's character in the image that Bob Kane had with his own flair to it. Anyone familiar with Nolan, Christian Bale, and Cillian Murphy's work will not be disappointed with this movie. Make no mistake about it, it is a dark movie, which is what makes it so great. Nolan uses CG effects very sparingly (thank God!).I rarely give movies a 10 out of 10, as I am pretty brutal with ratings, but Nolan resurrects a failed franchise. Personally, this is what Batman should have been all along - The Dark Knight! Anyone who is a Batman, Nolan, Bale, Murphy fan will not be disappointed. I only wish I took that money I spent on ""Star Wars: ... Sith"" went to ""Batman""."
14,"This is the Batman I have been waiting for! Tim Burton's Batman (Batman, Batman Returns) movies were good Tim Burton movies, but not great Batman movies. Joel Schumucher's (Batman Forever, Batman and Robin) I'm convinced were made to mock the Dark knight and destroy his good name. But this new one is everything Batman should be and needs to be. And the villains are all played to perfection! Christopher Nolan is my favorite director and this (along with Memento) is his best work. If you see no other movie this year, see Batman Begins.Note: This is not a prequel to Tim Burton's Batman. This is a completely new Batman movie series."
15,"I can only say what several critics have said before me; at last they capture the essence of the Batman legend on film! What makes this movie so great is how it takes its material so seriously. There is also a main theme that ties the movie together: Fear. It's relentless in its quest to explain why and how a man of Bruce Wayne's wealth and public persona would dress up like a bat and battle crime. This is the core of the movie, and it treats this with confidence and conviction. When a movie believes this much in the story it's telling, it's much easier for the audiences to believe in it as well. This is a big cinematic experience, and it shouldn't be missed. One of the year's best films, and quite possibly the best comic book-hero-movie of all time. If you have seen this movie once, then it gets even better by the second time you see it. And if you haven't seen it yet... well, what the hell took you so long?!"
16,"This latest Batman film disappointed a lot of people....but not me. I appreciated it because they didn't overdo the violence, didn''t have a stupid romance angle to muddy up the real story, and fount it an interesting history of how Batman became Batman. The first hour of this ""prequel"" dealt with his origins. If you're a fan of the comic book stories and the other Batman films, this part in the film should not bore you. It was like a documentary to me, about a topic I was interested in. In fact, on the second viewing I enjoyed this even more.Christian Bale did a fine job as the latest Batman. It's too bad there have been so many actors playing this role, ruining the continuity of this latest series. I hope Bale continues with a few more efforts with this character.It was nice to see Michael Caine in the role of ""Alfred."" He was excellent and the stabilizing force of the story. Katie Holmes did not have anywhere near as big a role, or romantic one, as I expected, and that was fine with me. I just enjoyed looking at her face, leaving it go at that. Gary Oldman was also interesting as a low-key young detective Gordon who would go on to become Commissioner Gordon in all the other episodes (but, once again, played by another actor.)The film ends with what would be the beginning of the first Batman, featuring ""The Joker.""After having seen all the Batman films several times, I now think is the best of them all....perhaps an unpopular choice, but that's my opinion. Don't let the naysayers keep you from watching this movie. You might be missing the best of the Batmans!"
17,"I just wanted 2 know the name of the martial arts that bale studied in training 4 the movie,not in the movie,can any1 let me know?the actor Bale trained & maxed his bod b4 the flick,I saw it somewhere being known as 1 of the most brutal ways 2 train the mind & body,but the rewards are an extreme sense of durability,as well as a natural tolerance against pain,mentally & physically,I was looking 4 fitness training alternatives 2 max out body mass,I am 210 pounds & want the mass as well as the weight @ 225,can any 1 share this info with me?I would really appreciate it thank u very much and I hope u enjoy the flick as much as I did!post! Post!post!"
18,"yup, this film made me cry. it really did. being a hardcore batman fan, i assume i know every little secret, history, background about the dark knight. i've waited 13 grueling years (discounting batman forever and batman & robin for reasons far too obvious) to see a decent BATMAN film. Not only is Batman Begins decent, it has got to be one of THE BEST FILM EVER! i watched the film on its last screening together with my friends in Alabang. after the movie, the entire theater was deserted and i just sat there, still trying to catch my breath. It is that damn good.Christian Bale plays the perfect Batman/Bruce Wayne. Charming, handsome, and ""rich,"" as Wayne. Terrifying, maniacal, sadistic, and blacker than black as Batman. ""It's not who i am underneath, but what i do that defines me."" Michael Caine as Alfred, humorous, he is the rock of the Batman family. Almost always, the exchange between Bale and Caine where Christian tells him ""You still haven't given up on me, have you?"" Caine answers ""Nevah."" Morgan Freeman as Luscious Fox. Quite different from the character in the real Batman mythology (which for me is the comic books), but important nonetheless. He's told in the film as the one who supplies Bruce with all of his ""spilunking"" stuff. :) Morgan plays it brilliantly, from his face in the Tumbler while Bruce is driving, to his deadpan humor near the ending of the film. ""Didn't you get the memo?"" That got one of the biggest laughs in the theater.Liam Neeson, Liam Neeson. Awesome! As Henri Ducard and the real Ra's Al Ghul, he was cold, beyond reason. Cold, bad-ass in a great way. Esp. the scenes where he and Bruce were in their ninja suits playing a game of ""hide-and-seek"" with all those ninjas. Some of the best lines came from Neeson's Ducard character. ""Are you ready to begin? Katie Holmes. She's actually the ""weakest"" link as far as all reviewers or critics are concerned, but for a fan, well, she actually is. Not weak, but pretty much, the film could have gone without her. Having her die at the end of the movie would have made an even better way to start the Begins sequel given Batman's occasional experiences with deaths that he feels responsible for. (i.e. the drowned girl in the VENOM series, Jason Todd) But she does put some nice boy meets girl syndrome during the early years of Bruce. (Oh, speaking of history, Bruce Wayne did NOT finish college nor did he finish in Princeton) And, imho, the end scenes where she and Bruce kissed was ABSOLUTELY YUCKY! i dunno, but for me, it was totally unnecessary but seeing as how the protagonist and the girl should kiss even once in a movie scheme held up, well, there ya go. ""You better run!"" Cillian Murphy as the Scarecrow actually should have gotten more screen time. He was really scary even in his ""doctor"" mode. the first time we get to see the mask during his talk with Falcone, awesome. We really got to see the extent of how this lean, geeky fellow could actually become one of Batman's worst enemies. Ken Watanabe, very limited screen time. Doggone good nonetheless.and who could forget...Gary Oldman as Jim Gordon. ""I have to get me one of those."" Damn right. ""I think you're trying to help."" Can't wait for the next Batman sequel just for the fact that i'd love to see more of Jim Gordon's interaction with the Batman.Overall, this movie gets a perfect 10 out of 5 stars :) This movie has it all. Great plot, dialogue, action, and an array of Oscar caliber actors, definitely, Batman renaissance has begun. Batman Begins."
19,"this was one of my favorite movies of the year. and i don't say that lightly. i saw this movie with my friend as a backup to lords of dogtown which was sold out and boy am i glad i did. Christian Bale did an amazing job with the tough role of being batman. i then saw this with my cousin who loved it as well. this is probably the best superhero movie I've ever seen. superman, horrible. batman, OK. spider-man the first one, OK. spider-man 2, boring. and so on. but this, this was amazing. it was well worth the 10 dollars to see it and i cant wait until it comes out on DVD. one of the best movies of the year and it deserves to be in the top 10."
20,"This is certainly, without question the best Batman film ever made, although that isn't saying much. Christopher Nolan makes this into a very dark and brooding tale that tells more about Bruce Wayne than Batman, something the other movies would never have done. Nolan is a great director and he takes a great leap of faith by showing perhaps the most important screen superhero in such a way that the city of Gotham and its components don't feel like taken from a comic book, but from real life. Batman Begins is based more on graphic novels and the original characters by Bob Kane, so the realism and details are there without all the fluff and showboating Joel Schumacher would have put out. Christian Bale is perfect as the title character and he creates a more interesting Bruce Wayne than Batman only because we see more of Wayne in this installment. All other roles are perfectly cast, especially Liam Neeson as a mysterious yet intelligent and brutal member of the League of Shadows. Katie Holmes is nice and sweet as Wayne's childhood friend, and there will never be another Alfred as long as Michael Caine resides.Simply put, Batman Begins is worth the time and money. It pulls you into a world you would never expect to see in a Batman movie, than transports you to Gothan City, the rotting core of it mostly. When we do get a glimpse of Batman, it really is quite different than other interpretations. The action here is based more on suspense than violence and the plot moves along quite well to make this movie feel shorter than its 140 minute running time. So, if you are going to see The Dark Knight this weekend, be sure to check this out first. Indeed, if it is anything like this one, this franchise is going somewhere truly spectacular."
21,"Being a fan of Nolan's previous work, I went into this with high expectations, and yet somehow, my expectations were surpassed. My congratulations to the entire cast and crew for making such a phenomenal film.It all begins with the story. Nolan and Goyer didn't just adapt from the comic book, they re- imagined and re-invented Batman and his world while staying true to it. I might even say what they did was in some ways better than the comic book. Things in the comic book that would probably seem preposterous in a live action film are brought to life in an intelligent way, like the reason for the costume, and the reason for the villains and their costumes. I won't go too much into the story, because I think it's best for people to go into this film knowing as little as possible.Christian Bale IS Bruce Wayne, and IS Batman. It will be hard to ever see someone else play the role. The look on his face when Joe Chill walks out of the courtroom... That demonic voice he gives Batman... The way he tries to hide his pain when he's told that ""the apple has fallen far from the tree""... an incredible performance. The rest of the cast is fantastic too, with Michael Caine and Morgan Freeman dishing out some great humor.And the film looks great. Gotham actually looks like a real city (with nods to Blade Runner), the lighting is nice and contrasty, and Batman is believable as a flesh and blood character. Even the flying scenes are handled nicely. It's hard to talk about this film without giving things away. If you haven't seen it, please see do. You won't be disappointed. I'd like to thank Warner Brothers for letting an intelligent and talented filmmaker make this film without much interference. Please make more like this one."
22,"Two Words: Batman Begins.The Batman franchise has been resurrected and it is better than ever. I can't stress enough on how good this movie is. Christopher Nolan directed (and co-wrote) a darker Batman that is portrayed perfectly by Christian Bale. A new youth and energy has been drawn out of the Batman legend and displayed perfectly. All of the performances in this movie are stellar, and each one does not seem out of place or pointless. The music keeps your blood pumping with the action and never lets up. And speaking of the action, you haven't seen anything until you see the Batmobile in motion. This thing is mint. I honestly wish that I could write something a lot better about this movie and go into great lengths of describing each piece of this glorious pie; but in all honesty, I will simply ruin the movies for others. I am not one to keep secrets. So please end my torment and go watch this movie. Then I will have people to talk to about it."
