,Review
10,"Although I love this film and rate it ten out of ten, I do admit that there's something missing, and I can't quite put my finger on exactly what that ""something"" is.  However, I think that if anything was added to compensate for that missing ""something"" the eerie subtly of everything would be trampled.I think a large part of Insomnia's effectiveness has as much to do with David Julyan's film score as it does with Pacino and Williams' wonderful performances.  Sure, the entire movie is ""bleak"" and gloomy (and the score sure adds to it), but what do you expect from a movie with a plot that revolves the murder of a young girl?  You sure as heck don't walk into the theater expecting some feel-good, heartwarming piece of crap that you'd see any other time of the year, that's for sure. We need more movies like Chris Nolan's Insomnia; it's unrelenting yet delicate, and I think that's what's putting people off.  What many want are macho brawling fistfights between Williams and Pacino, but what they get are pensive and thought-provoking dialogue (plus a little shootout near the end.)  Personally, I'm glad we get to see Williams and Pacino talk things out most of the time instead of beating the crap out of eachother in every scene.  They'd be wasting their talent if there was no dialog interaction between the two.My rating: ten out of ten"
11,"(Possible spoilers ahead)Ok, that might sound like a cliche line for Insomnia, a remake here of the 1997 foreign version with Stellan Skarsgard, but why not once in a blue moon.  Anyway, this is indeed a topper for Christopher Nolan, over his 2001 independent backwards episode Memento, and brings his storytelling skills to a thriller set in Alaska.  Thus, Al Pacino plays the cop, a usual part to be sure, yet here brings an excellent feeling of desperation to try and find a way out of the muck of lies and torment that are in his life.  And for once, Alaska is shown as it truly is, either all night or all day (there are so many movies that get this wrong it's too lengthy to explain here) and how either one can drive the particular person crazed.  Here it is the constant shining of a itty bit of sunlight into his room at 3:30 AM.Pacino is on the case of a killer (Robin Williams) who's victim is a teenage girl.  This is handled in a good way, by turning it into not a cops and and bad guys movie, but more of a moral movie, one about getting caught in the most stressful of situations in dealing with control over life and the responsibility it follows.  It is not just the acting, which is above par, but also just the downright craft that drags you into the predominately first person dilemma (although Williams brings up some interesting points among his blackmail).  One more note: Williams has done something this year to me I'm not sure he's ever done- he has two movies from this year that are both grand dramatic, crazed performances and among his flops and utter misdemeanors (including another one he did this year, Death to Smoochy) there is a bit of praise for the guy.  As for the thriller here, one of the years best in conclusion. A+"
12,"I can't believe I never found out about this movie. I watched it just recently. Al Pacino and Robin Williams were great! I never thought Robin Williams could do serious work. He was very serious in this one. He was also very serious in the movie The Final Cut. This story is about a Cop from Los Angeles traveling to Alaska in regards to a murder of a 17 year old girl who had been brutally bashed to death. What Pacino didn't know was that the sun never goes down in Alaska in Winter. It effects his sleeping patterns and gets dizzy every day. Pacino then bumps into a dark mysterious writer named Walter Finch. Everyone thinks he's the murderer. But is he? You'll have to watch the film to find out. The director Christopher Nolan did a great job at keeping the camera still. It never moved or bounced up and down once. he always kept it straight and still. Great action, acting and directing. I give this movie a solid, but funky 10/10."
13,"In this incredibly well written movie, Al Pacino plays a legendary LA homicide detective sent to Alaska to solve a murder that the locals are probably not properly trained to handle. Unbeknownst to the local police department in Alaska, Pacino is dealing with his own problems, problems that could in effect ruin everything he has ever worked for.As the movie progresses, we are introduced to a character played by Robin Williams. Williams' character is highly intelligent and way beyond the intellectual level of the locals investigating the murder. To be honest, this is quite disappointing to Williams' character, as he wants someone to know just how brilliant he is. Pacino provides WIlliams with that one intellectual equal that will be impressed with the fellow genius. However, Pacino's character is dealing with a life spiraling down the toilet and is far from impressed with the regaling of how somebody murdered a teenager. In one of the greatest pieces of dialog ever, Pacino (Dormer), confronts Williams (Finch) with the following, as FInch eagerly awaits some sort of accolades:""You don't get it do you, Finch? You're my job. You're what I'm paid to do. You're about as mysterious to me as a blocked toilet is to a fucking plumber. Reasons for doing what you did? Who gives a fuck?""After this, we see that both men are far from popular with the other and neither has much of a future.Strongly recommend the film. It is not a sunny film, even though the sun never sets in the Alaskan town where the event take place. This is an ugly film, filled with abusive boyfriends, misogynist deputies, and insecure police officers. But in the end, we are left with some ray of hope for redemption."
14,"This film is a detective story with a very particular and also quite messy plot that manages to extricate itself throughout its duration without ever confusing the viewer, let's say that it is one of the most complex plot detective stories I've ever seen explained in the most effective and simple way that there is. However, we must also talk about the masterful interpretation of the actors which we say was quite obvious looking at the name of the actors who are the protagonists of this beautiful film. In addition to the plot and staging, the whole work has a beautiful aura of lucid confusion that also envelops the viewer as he watches it."
15,"Despite being one of the lowest rated films by Nolan, it remains my personal favorite.Christopher Nolan's direction in ""Insomnia"" is tense and atmospheric, emphasizing the isolated and haunting Alaskan setting. His direction maintains a sense of ambiguity and moral complexity, blurring the lines between right and wrong, and presenting morally compromised characters.Al Pacino delivers a strong and compelling performance as Detective Will Dormer. Pacino effectively conveys the character's internal turmoil, guilt, and exhaustion, adding depth and complexity to the role.Robin Williams departs from his typical comedic roles to portray Walter Finch, the enigmatic and sinister suspect. Williams showcases his versatility as an actor, delivering a chilling and nuanced performance that adds a layer of psychological intrigue to the film.""Insomnia"" delves into themes of guilt, deception, the consequences of one's actions, and the fragility of the human mind under extreme circumstances. The film explores the psychological toll of insomnia, blurring the lines between reality and hallucination."
16,"I didn't know what to expect from this film. Upon watching The Dark Knight Rises only a few days earlier, I had heard that this was Nolan's worst film. Well, after seeing TDKR, which is riddled with unsubtle dialogue and bland pacing, I expected Insomnia to put me to sleep.It did not. In fact, it's now in my top three of favorite Nolan films.Here's why: Al Pacino gives a riveting and quite subtle performance as a detective plagued by mistakes in his past. As the mystery of a murder in a small Alaskan town begins to get more and more interesting, we learn more about how far Pacino's character is willing to go to reach justice, but we also see him falter, and succumb to more personal demons. It's a sublime performance, and I personally think he's one of Nolan's most layered and interesting characters.All other cast performances are amazing, including a memorable turn from Hillary Swank, who plays her role with a sense of keen suspicion and humbled intellect. But, the real standout next to Pacino is Robin Williams. I will give no spoilers about his character here, but when he's onscreen, it's easy to see why Williams won an Oscar years prior. He's a master of acting innocent but disturbed all at once. A truly gripping performance, that absolutely holds its own next to Pacino's greatness.The real beauty here is Nolan's direction. The tension is palpable, and is far more engaging and riveting than the few action scenes the film has, (though the action itself is great too!) The cinematography is top-notch, and really brings you into this small town world, adding a sense of paranoia and constant fear to each scene, as if someone is always watching, and no secret is truly unknown. Nolan creates an atmosphere through the performances that is perfect, and added to the location and cinematography, all three of them blend together strongly to form a fully matured motion picture. Truly worthy of being called a ""thriller"" in every sense of the word. Nolan's pacing may be off in TDKR, but not in Insomnia. Definitely not in Insomnia.I was truly mesmerized at the moral quandaries the film presents. I can't speak too much about them since I don't want to give spoilers, but no other film I've seen, especially a detective film, has dealt and shown grief and regret in such a fascinating way. The lines in this world are grey, and even the best people make mistakes. Mistakes which the characters much learn to live with in order to fit their own justice. Its engaging questions and themes are explored in depth, and never come off as preachy.In conclusion, Insomnia is truly one of Nolan's best, and is an underrated gem. Please watch this film. It deserves, and needs to be seen. A deep exploration of morality, filled with a tense atmosphere, and wonderful performances. Films like Insomnia are cinema at its grandest."
17,"This movie is arguably one of the best murder mystery movies I have seen since ""Laura"" (1944), ""The Silence of the Lambs"" (1991), and many of Alfred Hitchcock's movies, as well as being one of the best movies that Christopher Nolan ever directed, along with being one of the police movies that I have ever seen. The movie stars Al Pacino as William Dormer a Los Angeles a detective on the force for 30 years (and couldn't sleep) whose partner is a young detective named Hap Eckhart (Martin Donovan) who are sent up to Alaska to help a local police department in a small town called Nightmute in order to solve the case of the murder of a teenage girl. As soon as Dormer and his partner arrive they meet a young police detective who happens to be a big fan of Detective Dormer's work named Ellie Burns (Hilary Swank). Dormer also happens to be a good friend of the police chief there whose last name is Nyback (Paul Dooley). As soon as they get there things start kicking up to speed, the policemen/women find the supposed killer in the fog but weren't able to get him and as a result Dormer's partner dies under strange circumstances. During that case Dormer meets a crime novelist named Walter Finch (Robin Williams) who claims that he killed the girl and that Dormer killed his partner. Pacino, Williams, and Swank really deserved Oscar nominations for their excellent work in this movie, and it is also worth noting that Pacino played an LA cop in 1995's ""Heat"" that was another great performance but he had to deal with another acting titan in Robert De Niro.The movie isn't the best movie that Christopher Nolan directed but it is movies like this that are the reason why I consider him to be the modern version of Alfred Hitchcock, Nolan would eventually direct great films like ""Batman Begins"" (2005), ""The Dark Knight"" (2008), ""Inception"" (2010), ""The Dark Knight Rises"" (2012), and ""Interstellar"" (2014) all of those films were masterpieces and this one is right up there with them. I was very impressed with this movie, especially with Hillary Seitz's screenplay that wasn't adapted from anything but man did it work. The movie was brilliantly executed, and is one of 2002's very best films."
18,"Robin Williams really impresses...and in a role unlike we've ever seen him! I was flabbergasted to see him take on this type of persona, but it is definitely worthy of attention!  Congratulations, Robin, for a job well done!"
19,"I remember last summer when I had a bad case of insomnia due to nothin but fun. But when I saw the movie (2002 version), I was not only reminded of what no sleep is like, but what fun it was watching Al Pacino and Robin Williams become enemies.Los Angeles detective Will Dormer (Al Pacino) and his partner are assigned to go to Alaska and uncover a mysterious murder of a 17 year old girl. When they arrive in Alaska, they are teamed up with beautiful police officer Ellie (Hilary Swank) and her squad. While trying to solve the case, Will begins to suffer from insomnia because of the summer non stop daylight. It even gets worse because while out hunting a suspect in the fog, Will accidently shoots his partner leaving him dead. Will recieves a call the next day from a mystery novelist (Robin Williams) who claims to be the murderer of the 17 year old girl and who saw Will murder his partner. It turns into nothing but a world of blackmail because the author threatens to turn Will in if there is no cooperation between the two.I honestly think that Christopher Nolan is going to be a success because of his first two movies. He did such a brilliant job, that he deserves the best director oscar next year. And, I vote Pacino for best actor."
20,"A visually stunning psychological thriller with fantastic performances and brilliant direction. Pacino owns his role as broken down detective dormer, and robin williams who i usually cant stand gives nothing short of his best performance ever. A must see. 10/10"
21,"I have not seen the original, but I will.  This movie was outstanding.  I would write outstanding in all caps, but I don't feel like yelling.  Pacino was the most engaging I have seen him since Scent of a Woman.  If you are a fan of acting and love the understated, you may feel Robin Williams gives his best performance in this movie.  I definitely do.  There are so many details to pour over; questions within questions with answers that perception and perspective can and will change for you. 
Why did Dormer hold so much inside?  Do we really believe that Finch believes he is innocent?  Everyone's actions and choices ride the film forward on a tightly wound and engaging suspension of disbelief.  At one point the movie almost broke in to a typical Hollywood-style chase scene - but the director immediate derailed it, with confidence, and plunged us (literally) right back in to our insomnia-induced sense of isolation and eeriness.Dormer/Pacino is the kind of cop with a gift that we are used to in movies. But he is a flawed cop who's gift may have become a crutch.  In the back-story it may have cost him his career.  With Finch/Williams (in the present) it may be clouding his vision more than the insomnia.  If you watch Memento enough, every detail makes sense.  Not so in Insomnia, logic (for the characters) is tossed aside early; bad and good dance and almost swap places.This movie is all about the struggle, but not in a way that we are used to. The motives aren't what you think.  The good guy has strayed from the path. The bad guy is sad, driven, compassionate and intelligent - if he wasn't so willing to wear his guilt, we might like him.  I am tired of black and white characters in movies.  This movie dons the gray cloak and shows all its wonderful shades.  If you can't tell already, for me, this movie was deeply satisfying and beautiful - and a guilty pleasure I will enjoy again soon."
22,This is without a doubt the best movie i've seen all year . christopher nolan proves himself again to be one the best directors around . Al Pacino yet again reinforces his legendary reputation as the most intense actor around . Williams is astounding as his quarry and alter - ego . All in all a must-see film .
23,"""Insomnia"" is not the kind of movie you expect to see this time of year. It's the kind of dark film studios usually save for fall release. The logic is that a) audiences are expecting more serious, dark material that time of year and b) it's positioned better for Oscar attention. Something has happened this summer, though. We seem to be getting back to the idea that summer is not just the time for dumbed-down action. It's the height of the movie box office season, period. If a movie is good, it has the best chance of being seen during this season. That has not been the way things have gone in recent years. The high-profile release of ""Insomnia"" release may be a sign that major movie studios have finally wised up.This summer, if schedules hold, we'll get Cold War thrillers ""Sum of All Fears"" and ""K-19: The Widowmaker."" We'll get the first major studio, serious crime film in a while, ""Road to Perdition.""  Are the days finally gone that true movie fans must spend spring and summer waiting for anything good to watch, settling for what amounts to garbage? I'm hopeful.By the way, I loved ""Insomnia."" It's the best film of the year so far. The film is a rare instance of a project living up to and far exceeding its potential. Sometimes the collaboration of great talent actually creates something great.Director Christopher Nolan, who only four years ago released his first film, ""Following"" on a shoestring budget shot with friends over a year of weekends. Only one print was made of the film at the time. Not knowing this, I was lucky enough to see it screened back in 1998 at a theater in Santa Monica. Only two other people were in the theater. The night before I saw it, Nolan held a Q & A session after the screening. I'm kicking myself now for not attending that. If only I'd had any idea what would happen next. In 2000, at the Toronto Film Festival, came ""Memento,"" and everything changed. A couple of struggling producers named Clooney and Soderbergh immediately recognized Nolan as having big-time potential and tapped him to direct ""Insomnia,"" their remake of the 1997 Norwegian thriller of the same name.I saw ""Insomnia"" on Memorial Day Sunday. The theater was packed.So now here is Nolan, having directed three Academy Award winners in a thriller that found itself taking advantage of a Memorial Day weekend left wide open by schedule shifts. The choice to release it at such a time would not have been made had this film not been so good. I believe that the studio took a look at it and said, 'this is great, people are going to love this. Now, when can we open?'Despite its big stars and probably big budget, ""Insomnia"" is remarkably tight. There's a subdued, perfectly channelled intensity throughout. Stylistically it's only a few clicks removed from `Memento.'  The two films look a lot alike.Each of the great actors, Pacino, Williams, and Swank accept themselves as pieces of Nolan's puzzle, snapping themselves in perfectly. They're the kinds of roles actors live for.Grade: A"
24,"Al Pacino's character looked tired when he arrived in the Alaskan town. As he attempts to reconcile a serious mistake, he grows wearier and wearier. Enter Robin Williams, a sociopath who plays a cat and mouse game with Pacino. Balance that against the perceptive and admiring Hillary Swank and a lot of baggage from Pacino, and you have the ingredients for a terrific thrill a minute film. I found myself rooting for the Pacino character even though there is a level of dishonesty that will be hard to reconcile. He must cover some huge tracks. There are some issues with Williams' ability to know things that are a little far fetched. Many villains fall into that gap, but that's OK. We take him for what he is. It's an engaging movie."
25,"I was really looking forward to this film, and I'm glad to say that I wasn't the least bit disappointed.  First of all, I was glad to see Al Pacino on screen again.  It seems like it's been a while since I've seen him on screen.  I think the last film he was in was ""Any Given Sunday.""  Pacino yet again delivers a brilliant performance, strapping the audience in for a wild ride through the emotionally scarred mind of Detective Will Dormer.  It seemed like I could feel his every emotion throughout the course of the movie.  Because this is a character-driven story that revolves around Dormer, his pain, anguish and guilt on account of accidentally taking his partner's life, constant insomnia and subsequent threats by his nemesis, played by Robin Williams as a writer of trashy detective novels who's fascinated by Dormer and blackmails him by threatening to spill out the secret of Dormer shooting his partner.  As for Robin Williams, he is fully convincing as the reclusive novelist/murderer of a 17-year-old girl.  I suspected, from the trailers, that he'd play a serial killer.  I wouldn't exactly classify his character as a serial killer, but he is the antagonist and a murderer and Williams plays the role perfectly, never underplaying it and never overplaying it.  He could've went over-the-top, playing a totally ruthless killer who cackles at the thought of murdering someone in cold blood.  Though he's not our sympathetic character, you do feel sympathy for him at times.  And I like how the story creates this little cat-and-mouse game between the two characters, each one plagued by skeletons in the closet.  Oscar-winner Hilary Swank delivers another fine performance, and I was stunned to see how amazingly attractive she looks, after having seen her gender-bending role as Brandon Teena in ""Boys Don't Cry.""
Christopher Nolan is the acclaimed director of ""Memento"" and he scores yet again, with this beautifully constructed thriller.  I was intrigued from start to finish.  Nolan's use of lighting is dark and murky, wonderfully setting the noirish tone.  Nolan shows great promise as an up-and-coming director, and with a good outlet he can possibly become the next Kubrick. I greatly look forward to seeing his next project, whenever that may be.I recommend ""Insomnia"" to anyone who loved Nolan's previous ""Memento"" or anyone who simply enjoys a great, multi-faceted mystery/thriller that will keep you guessing at every turn.  I think it's too early to vote this movie as one of the best films of 2002, but it's a possible candidate.  We don't see too many ""great"" films anymore, and whenever they're out there it's good to take advantage.My score:  9 (out of 10)"
26,"Christopher Nolan follows the flawless MEMENTO with this, another one-word title film and another inventive, superb effort. Based on a Norwegian movie (which I haven't, as yet, seen), this tells the oft-told tale of a world-weary cop vs. a nasty and particularly slimy killer. What makes it special is the script – very believable and down-to-earth – and the characters, who are so realistically drawn that you can easily believe they are living, breathing people. The setting of the icy, desolate Alaskan town is very good indeed, combined with excellent cinematography which brings out every characteristic of the location and makes it feel really unique. Nolan shoots his film expertly, mixing in some fine chase and action sequences (the log run is brilliantly conceived) with the heavier, more dramatic moments.Al Pacino is fine in the role of the ageing, flawed cop. Sure it's a performance we've all seen before but he makes it extra special with his singular powers of method acting and realism. You feel tired just looking at his weary, end-of-the-road cop. The supporting cast are all fine but it's Robin Williams who really steals the show as the killer, Finch. Williams is nasty, slimy, villainous, creepy, and totally scary, a mundane and quiet little man who's prone to bursts of a violent psychopathic nature. The film remains unpredictable throughout, letting the suspense build gradually as the cat-and-mouse storyline increases the tension, before ending in a sudden burst of violence and excitement. Magnificent stuff, sadly all too rare these days in Hollywood but a reminder of what a good director, a good script and a good cast can really do."
