,Review
10,"This movie shows that despite failure, despite your fears, despite your enemies, you can be a hero. you can use all three of those things to your advantage and become something better than you were before you encountered them. it masterfully shows and tells that ANYONE can be a hero.obviously on a technical level this film is perfect. almost the entirety of the third act is shot in beautiful imax, that's sadly only in 16:9 on 4K. just like with the previous transfers, sound and picture are great, but this is probably the best looking film to me.it may not seem like it at first, but just like ra's and joker, bane is the opposite side of the same coin for batman. tom hardy perfectly embodies bane and the darkness, and obviously he's a downgrade from joker, but that doesn't mean he's not the perfect villain for a finale.hans zimmer delivers probably my third favorite score from him, with an incredible theme for bane as well as many extensions of previous themes.this is such an underrated finale. all three films mesh together so well, they feel like one. they mean so much to me, and i'll forever thank nolan for making these films."
11,"The Dark Knight Rises is the third and final installment in director Christopher Nolan's Batman trilogy. The story takes places eight years after the events of the last film, eight years since Batman vanished into the night and assumed responsibility for the death of D.A. Harvey Dent in the hopes that it would benefit the greater good. But when a new villain threatens to destroy Gotham City and cannot be stopped by law enforcement alone, Bruce Wayne is forced to adorn the black armor once again. The film introduces several new characters: John Blake (Joseph Gordon-Levitt), a young police officer whose loyalty lies in doing what is right and not blindly following his superiors. Selina Kyle (Anne Hathaway), a cat burglar working for Bane in hopes of obtaining a device that will erase a person's criminal history and giving her the chance to start a new life. Miranda Tate (Marion Cotillard), who encourages Bruce Wayne to rejoin the rest of the world and continue his father's philanthropic work. Loyal butler, Alfred (Sir Michael Caine), Commissioner of the Gotham Police, James Gordon (Gary Oldman) and genius inventor, Lucius Fox (Morgan Freeman), also make a return to help Bruce Wayne become the Dark Knight once more. A new villain also enters the fray that is just as intelligent, resourceful and a better combatant than Batman (even breaking Batman's back at one point, depicting a classic scene from the comic series) – Bane (Tom Hardy), a terrorist portraying himself as a liberator of the people.Production staff really outdid themselves in making this film superb in every detail. In regards to the dramatic aspect, filming took place in several different cities across the world including New York, Pittsburgh, Los Angeles, London and Jodhpur. By amalgamating different cities, staff members helped to make his imagination of Gotham resemble the description of the city given in the comics. Costume specialists helped to give Bain the appearance of a lucha libre (masked wrestler), which coupled with his resourcefulness and intelligence helped to create the perfect villain. The Dark Knight Rises takes place in an apocalyptic time with nuclear warfare threatening to destroy Gotham City. Cinematography experts helped to reinforce this doomsday ambiance by having Bane and his henchmen blow up all the bridges that lead out to the city, trapping the entire police force underground and unleashing the hooligans from the city jail in a scene that resembles the ""Storming of the Bastille"". The federal government also abandons Gotham, leaving the people of Gotham to fight the battle on their own. Even scenes that do not take place in the city show the helplessness of the times. When Bruce Wayne is imprisoned in foreign jail, Bane decides to ""torture his soul"" by having him watch the events unfold in Gotham on a television set while he is trapped in a virtually inescapable prison. Director Christopher Nolan stated that this film would mark the end of his interpretation of the Batman trilogy. However, the end of the film leaves the viewer with a final surprise: John Blake's legal is revealed to be Robin John Blake, a reference to Batman's comic book sidekick, and inherits the Batcave after Batman's ""demise"". This leaves the possibility open to an additional installment in the Batman franchise, and with the critical and financial success of the series, it may be a smart move for Warner Brother's to make (copyright owner's to the series).The film also leaves the viewers with a final message: a hero can be anyone. Whether it is placing a reassuring grasp on the shoulders friend, letting him know that things will get better, or helping a stranger on the side of the road who is having car troubles. Nolan's final episode is an earnest attempt to give a deserving end to a much-loved series. With cool gadgets, fast-paced chase and fight scenes, complex characters, and a story line that will keep you on the edge of your seat, fans of the Batman series will not be disappointed."
12,"There's a common misconception when it comes to The Dark Knight Rises especially regarding how it tackles it's themes and story: this film isn't trying to raise the stakes, it's trying to add to the story, in this case his loneliness, his sense of powerlessness.Hans Zimmer's score is some of the best I've ever heard, Wally Pfister peaked, had the best choreographed action scenes out of the whole trilogy, had the most emotionally resonant story out of the trilogy for sure. A very well made and satisfying conclusion that makes this trilogy one of the best .. ever?A perfect comic book movie, certainly one of my favourites of all time"
13,"The Batman series by Christopher Nolan was and is probably one of the best superhero series ever. In an industry where very few sequels have been that good, The Dark Knight, I believe was designed by Christopher Nolan to be head and shoulders above Batman Begins; and it was. The Dark Knight surpassed Batman Begins, end of story. Now that you have accomplished what very few have managed, how do you surpass this one. A daunting and mountainous task indeed. Only now, Nolan wasn't even trying to surpass it. He was merely trying to present a movie that would build on its predecessor.The movie is set 8 years after the Joker incident so that anything related to the Joker need not be shown (RIP Heath Ledger). Nolan presents us a completely different Gotham. A different take on it. And how 8 years can change people. How the harvey dent and joker incident can affect people and batman himself. In a time of peace, it is quite easy to plan and attack even an entire city. Everything is taken into concern. And it all adds up to one seemingly invincible villain. The logic is never lost at any point of time. The screenplay is penned to allow the impact of what has happened to Gotham and its people in ""The Dark Knight"" and what could happen if something goes wrong now.All things said, if you are expecting something better than The Dark Knight, you are mistaken. This was never going to compete or surpass that. This is a very good movie in its own right. As for the series, there cannot be a better conclusion and I really hope nobody else continues this series if Nolan decides not to.TDKR needs to be appreciated for staying true to its roots and still giving us something good, exhilarating and unexpected."
14,"I have to say it was a shock to watch Batman in IMAX Hall. On the one hand, this kind of shock comes from the almost perfect audio-visual experience of the IMAX hall, and more importantly, Nolan's precise control of the plot and the picture, cleverly combines the commercial film and the art film, and the commercial atmosphere is too rich. Less than one point, the artistic display is not in place. Exquisite acting, wonderful battle footage, excellent CG synthesis, perfect picture control, presents a near-perfect audio-visual feast.More than 2 hours, it is really wonderful. Now those one-and-a-half-hour movies are too short. The plot limits the whole story to reversal, feelings, passion, you can be selfish, but please do not to blame others. Grateful tribute to those who give in silence"
15,"There are plenty of elements that made this film work, so I suppose we can tick them off one by one. For starters, the continuation on the focus of Bruce Wayne's story, which has made it all tick. This version of Bruce Wayne and Alfred become the familiar characters we're accustomed with since 2005, and the film invests heavily on the emotional bonding between the two, which deals back to the theme about fear that rears its ugly head again, and how a father figure cannot stand idly by to watch the one he brought up recklessly charge into battle after a long hiatus, and hoping for a life of normalcy with the mantle of the bat given up. Michael Caine may have a shorter screen time than before, but no less powerful.When Sam Raimi had to put the popular and powerful Venom into Spider-man 3 pretty much against his wishes, we all knew how that turned out to be, effectively killing off the franchise until the decision to reboot it. There may be some similar fears with the introduction of a fairly contemporary villain in Bane, but the story gave him more purpose and meaning, and Tom Hardy was excellent par none in this role as the compete villain - with plenty of brawn, merciless, masterful, and with a plan any terrorist would be proud of. If the Scarecrow meant to induce fear, and the Joker to create chaos, Bane is carnage incarnate. Tom Hardy, even being the requisite mask, is fearful, and while the designs of his plan may dwarf the Joker's in complexity, it sure rivaled his in terms of delivery, and execution. Anyone in his path gets shoved aside with deadly consequences, and anyone alive is only because there is of further use. No hesitation, and no compromise.And Nolan continues with the introduction of a lot more villains big and small, behind a mask or otherwise, in his Bat films than anyone would credit him for, especially when having those whose lines are blurred, or corrupt to the core and hiding behind social status and fortune. This in turn provides for another arc that boils underneath the main narrative, where the rich and powerful continue to enjoy their successes at the expense of the have-nots, and the Occupy Movement in a way being a very real parallel to the proceedings on screen. While the mobsters were clearly at the top of the food chain in the earlier Nolan films, this one shifted focus to politicians and the elite community, with their fair share of scandals and corporate greed.While Bane was to the point, Selina Kyle played by Anne Hathaway, is both sensual and a force to be reckoned with herself, being like how she's best portrayed, on the fence. There's a bit of Frank Miller's Year One in this one given the presence of Juno Temple's Holly, and the back to basics as a jewel thief, compared to the mousy secretary in Tim Burton's Batman Returns with Michelle Pfeiffer defining the role, and the garbage that was Halle Berry's. Anne Hathaway nailed this one with what would be a truly memorable outing, and as if a homage of sorts to Burton's second Batman film, that the repartee between Bruce Wayne and Selina Kyle at a party became one of the highlights here, as does her thievery and combat ability. She may lack her whip, but more than makes up for it with her steel stiletto heels, and the very sensual and sleekly designed feline moves that you'd wonder how they got delivered while wrapped under that skin tight suit.And not only is the technology put on screen fictionally impressive, the technical aspects behind the scenes also worked wonders, chalking up serious mileage in having more than an hour's worth of footage shot on the IMAX format. Wally Pfister's cinematography continues to impress with that staying consistent to the gritty look and feel developed for all the Bat films to date, before his departure into a film director's role for his next project. Hans Zimmer also probably developed the best score for Nolan's Bat films, and I dare say without which this film would be less stellar, with the score playing a huge role in adding plenty of character and emotion to the film, lifting it up with excitement during the many set action pieces, with recognizable themes assigned to major players, heightening dangers, and providing a boost to the many feelings in this one heck of an action-adventure. With how things developed at the end, and what I felt was initial horror of sorts with Batman out in broad daylight, secret identity being porous and all, this film ended in what would be the best way possible - with possibilities, and a twinkle of an eye, Inception style with a did it, or did it not. Twists, turns, surprises and sleight of hand, making it a clear favourite as one of the best this year. Do yourself a favour and watch it in the IMAX format, just as it was intended.Because you have just got to believe in Christopher Nolan, and the kind of films he has so far delivered. Take a bow, bat-crew, for a trilogy that has now set the bar for any comic book film, and especially any other follow Batman movie, reboot or otherwise, to live up to."
16,"I cannot imagine a ""Batman"" movie after ""The Dark Knight Rises"" (**** out of ****) without ""Inception"" director Christopher Nolan at the helm. Warner Brothers and DC Comics got this legendary costume-clad crime fighter trilogy 'right.' Sure, you can nitpick, but Nolan's ""Batman"" movies differed in ambiance from those of both Tim Burton and Joel Schumacher. Nolan's ""Batman"" movies trod a thin line turning a vigilante into a hero and scrutinizing the morality of his behavior. Essentially, Nolan rebooted the franchise, recreated Bruce Wayne and Batman as troubled alter-egos, and turned the good versus evil episodes of the earlier films into full-blown spectacles. While sticking slavishly to the basics, he relied on his fertile imagination to give the characters greater depth and examine the issue of vigilantism. Nolan's Caped Crusader movies don't rely on humor as much as slight, off-hand comments. The action unfolds swiftly, and the characters are clearly delineated before the end credits roll. You prepare yourself for the surprises. The films replicate the haunted quality that Burton forged with his Michael Keaton forays, while Schumacher embraced a bright, heavily saturated, slightly surreal comic book quality. Of course, the ""Batman"" graphic novels of Frank Miller have influenced Nolan. Christian Bale's part in the success of the trilogy is considerable. He is more of a Michael Keaton ""Batman"" than either a Val Kilmer or a George Clooney crime fighter. Bale is to Batman the same way that Sean Connery was to Bond. Long-time British actor Michael Caine makes a superb Alfred Pennyworth, but Michael Gough was no slouch himself in the four previous ""Batman"" incarnations. Unquestionably, Nolan steps back from Batman at the Caped Crime Buster's zenith. The ending to this trilogy capper is odd. Indeed, Warner Brothers conceivably could make another ""Batman"" movie based on Nolan's conclusion to ""The Dark Knight Rises.""Anybody who tries to top ""The Dark Knight Rises"" will have a lot to prove both artistically and financially. Christopher Nolan is to the ""Batman"" movies what James Cameron was to the ""Terminator"" movies. Stepping into Nolan's shoes will pose a supreme challenge for whoever dares. Nolan approached the ""Batman"" franchise with reverence, played the plots as close to straight as possible, and shunned clever one-liners. ""The Dark Knight Rises"" surpasses both the ""Batman Begins"" origin movie and ""The Dark Knight."" ""The Dark Knight Rises"" takes the franchise to the brink of annihilation with what amounts to a Gotham City Armageddon. Batman contends with two worthy opponents that played a part in his origins. The most obvious villain is Bane. A hulking brute of a man, he looks like a cross between of a wrestler and equivalent of a human pit bulldog. Bane wears a contraption over his face that enables him to handle the pain of life. Basically, we never see British actor Tom Hardy's face because he conceals it with a mask. Interestingly, this imbues Bane with a mystery. Furthermore, Bane speaks through this contraption and he sounds quite avuncular. In other words, he doesn't sound as menacing as Darth Vader, but he doesn't mince words. Finally, former Disney princess Anne Hathaway makes a willowy Cat Woman. Just as the Marvel people had trouble getting Hulk right, the DC people have experienced similar trouble getting Catwoman right. Anne Hathaway makes the perfect Catwoman.The sheer spectacle of ""The Dark Knight Rises"" dwarfs ""The Dark Knight."" Eight years has elapsed since the murder of Harvey Dent and the disappearance of the Caped Crusader. Guests at Wayne Manor make remarks about the tragic figure skulking about on the balcony in the distance. Bruce Wayne (Christian Bale of ""Terminator Salvation"") has turned into a contemporary Howard Hughes. He is amazed when he catches a burglar in his side of the mansion. Moreover, she is a delectable burglar. She has cracked Wayne's safe and stolen his mother's pearls. Since Gotham City is largely safe now, the authorities are not prepared when a gang assaults Wall Street and tries to plunge the economy in chaos. Batman makes a triumphant return in top form with a new gadget that resembles a mini-helicopter. Initially, Batman has no trouble licking his adversaries. Against the Catwoman, he seems vulnerable. She likes to let him down. When he confronts Bane, Batman's gauntleted fists exert no more effect on him than they would on a bag of cement. Indeed, Commissioner Gordon (Gary Oldman of ""The Fifth Element"") is back on the case. He knows the truth about Harvey Dent, even if he doesn't know the identity of the Batman. If you missed either or both ""Batman Begins"" and ""The Dark Knight,"" you may find yourself in an expositional purgatory. Nolan's ""Batman"" trilogy fits snugly together, aside from the change of casting between ""Batman Begins"" and ""The Dark Knight"" when Maggie Gyllenhaal replaced Katie Holmes as Rachel Dawes in the District Attorney's Office. ""The Dark Knight Rises"" packs the Caped Crusader into exile. Bane batters him into submission. Nolan takes not only Gotham City to the limit, but also he takes audiences to the limit with an actioneer that clocks in at 164 minutes. Nevertheless, ""The Dark Knight Rises"" qualifies as the best ""Batman"" movie ever!"
17,"I've always loved superhero movies and as a kid Batman was my favourite superhero and I collected as many of the comic books as I could possibly afford.Saying that I've never expected a superhero movie to be between the best genres of movies that I would ever watch. I just expect them to be entertaining and something fun to watch. I watch most of them; Superman, Spiderman, Ironman, X-men etc.I expected the same this time but I was knocked off my feet. The actors, the storyline, the manuscript and the filming just came together as one of the best movies I've ever seen. This movie has really brilliant and powerful dialogues.If you haven't seen it yet then I can strongly recommend it. I will definitely see it again with a good bottle of wine and popcorn. Enjoy!"
18,"Chris Nolan has r-e-a-l-l-y outdone himself again this time. An amazing story that I don't even know who else could write such a treatment on the World's Greatest Detective, the crowning glory of Nolan's Dark Knight trilogy.I remember I once made a joke to myself a long while ago about him that if he was going to make another movie, he would probably cast Heath Ledger and Joseph Gordon-Levitt's respective love interests from a movie of which they BOTH starred in and worked on-- 10 Things I Hate About You.It would be ironically funny how both actors are connected to each other from working at different times with the ""holy-moly mind-blowing"" filmmaker and that the actresses that played their love interests would possibly too as well."
19,"Christopher Nolan reinvents Batman in a powerful and much darker way. Batman Begins is a gripping and compelling origin of the hero. The Dark Knight is a lot more serious, realistic, and powerful Batman movie. The Dark Knight Rises is the last of the series. It is ought to be larger and better. It does succeed to be the biggest of the rest of the series. Although, it's not as as superior as The Dark Knight. The Dark Knight Rises is still a fantastic and grand cinematic experience.Every sequel gets bigger and bigger. The threats are getting worse and worse. The Dark Knight Rises is more than just big stuff. There is always suspense that keeps the movie exciting. The best thing about the action is it's not about being pretentiously cool, but it is made to give you anxiety to the fights of Batman between the enemy. Tom Hardy nailed it as Bane. He brings a lot of fear and menace to it. It's different to The Joker but Bane is an intriguing villain.Most of the movie is the anarchy in Gotham and Bruce Wayne's suffering. There isn't much action fighting in those scenes. What matters here is how you can feel the danger of the characters. The chaotic turn of Gotham really looks bleak and gloomy that makes you think everybody is doomed. Compelling and heartbreaking emotions is always there.Much credit goes to Christopher Nolan. Despite of its almost three hour runtime, the film is well fast paced and completely entertaining. His action scenes are totally different to the action scenes of movies these days. He's focused to the thrills than looking cool. Some fistfights can be a little underwhelming, but he's best at the chase scenes. The CGI is obviously good and not excessive.The Dark Knight Rises is a lot more daring than anyone would expect. It's one of those superhero movies that cares more to heroism than just action. The scale is large and it is so explosive. That is the usual formula of all blockbusters, but here, it uses it in a darker and suspenseful way. The Dark Knight Rises is just beyond your expectations. It's also a fitting end of this amazing trilogy. I still think The Dark Knight is the best of the three. That movie is something you can't compare to any other film. Even this and Batman Begins. But hey, The Dark Knight Rises is such an excellent grand experience."
